    -4.04     1.00    27.00   -27.93   -38.05    19.00   767.54     1.00     0.19   -17.51     0.00     1.00
    -4.10     1.00    27.00   -29.68   -26.66    22.00   796.94     1.00     0.19   -12.27     0.00     1.00
    -4.62     1.00    27.00   -22.08   -33.21    23.00   857.34     1.00     0.23   -15.28     0.00     1.00
    -4.06     1.00    27.00   -20.06   -25.71    27.00   778.44     1.00     0.31   -11.83     0.00     1.00
    -3.84     1.00    27.00   -34.19     7.50    29.00   756.54     1.00     0.13     3.45     0.00     1.00
    -4.02     1.00    27.00    -7.39   -24.30    30.00   847.24     1.00     0.37   -11.18     0.00     1.00
    -4.60     1.00    27.00   -10.15    35.98    32.00   759.84     1.00     0.24    16.56     0.00     1.00
    -4.63     1.00    27.00     0.67    36.83    33.00   897.34     1.00     0.33    16.95     0.00     1.00
    -4.11     1.00    27.00    16.19    26.90    35.00   843.04     1.00     0.29    12.38     0.00     1.00
    -4.52     1.00    27.00    38.62    16.49    41.00   975.94     1.00     0.14     7.59     0.00     1.00
    -8.56     1.00    27.00    28.04    38.16    43.00  1039.14     1.00     0.19    17.56     0.00     1.00
    -3.78     1.00    27.00   -30.88    -0.11    69.00   743.04     1.00     0.16    -0.05     0.00     1.00
    -3.89     1.00    27.00     4.12   -45.95    79.00   849.44     1.00     0.33   -21.15     0.00     1.00
    -3.75     1.00    27.00   -42.19    -2.10    81.00   731.04     1.00     0.11    -0.97     0.00     1.00
    -4.32     1.00    27.00   -41.74     4.73    82.00   782.04     1.00     0.11     2.18     0.00     1.00
    -3.90     1.00    27.00   -10.03   -37.12    83.00   822.34     1.00     0.31   -17.08     0.00     1.00
    -4.01     1.00    27.00   -24.49   -21.44    84.00   764.04     1.00     0.25    -9.87     0.00     1.00
    -4.07     1.00    27.00   -17.19    12.74    86.00   774.84     1.00     0.31     5.86     0.00     1.00
    -4.15     1.00    27.00    11.35   -35.30    89.00   824.74     1.00     0.23   -16.24     0.00     1.00
    -3.95     1.00    27.00    16.96   -46.07    90.00   870.94     1.00     0.16   -21.20     0.00     1.00
    -4.16     1.00    27.00     1.06    44.00    94.00   803.44     1.00     0.28    20.25     0.00     1.00
    -3.96     1.00    27.00     3.09    42.00    95.00   822.74     1.00     0.28    19.33     0.00     1.00
    -3.93     1.00    27.00    43.83     0.63    96.00   960.84     1.00     0.11     0.29     0.00     1.00
